County,Town
Antrim,Abbeydorney
Armagh,Abbeyfeale
Carlow,Abbeyknockmoy
Cavan,Abbeyleix
Clare,Adamstown
Cork,Adare
Donegal,Aghada - Rostellan
Down,Aglish
Dublin,Ahascragh
Fermanagh,Ailt an Chorráin (Burtonport)
Galway,Allenwood
Kerry,Anagaire (Annagry)
Kildare,An Bun Beag (Bunbeg)
Kilkenny,An Charraig (Carrick)
Laois,An Cheathrú Rua (Carraroe)
Leitrim,An Clochán Liath (Dungloe)
Limerick,"An Fál Carrach (Falcarragh, Cross Roads)"
Londonderry,Annacotty
Longford,Annagassan
Louth,Annaghdown
Mayo,Annascaul
Meath,Annayalla (Annyalla)
Monaghan,An Rinn (Ring)
Offaly,An Spidéal (Spiddle)
Roscommon,Ardagh
Sligo,Ardara
Tipperary,Ardee
Tyrone,Ardfert
Waterford,Ardfinnan
Westmeath,Ardmore
Wexford,Ardnacrusha (Castlebank)
Wicklow,Arklow
,Arthurstown
,Arvagh (Arva)
,Ashbourne
,Ashford
,Askeaton
,Athboy
,Athea
,Athenry
,Athgarvan
,Athleague
,Athlone
,Athy
,Aughnacliffe
,Aughrim
,Avoca
,Baile Chláir (Claregalway)
,Baile Mhic Íre (Ballymakeery)
,Bailieborough
,Balbriggan
,Balla
,Ballaghaderreen
,Ballina
,Ballina
,Ballinabrannagh (Ballinabranna)
,Ballinaclash
,Ballinagar
,Ballinagh
,Ballinakill
,Ballinalack
,Ballinalee
,Ballinameen
,Ballinamore
,Ballinasloe
,Ballincar
,Ballinderreen
,Ballindine
,Ballindrait (Baile an Droichid)
,Ballineen - Enniskean
,Ballingarry
,Ballingarry
,Ballinlough
,Ballinroad
,Ballinrobe
,Ballinspittle
,Ballintober
,Ballintogher
,Ballintra
,Ballitore (Ballytore)
,Ballivor
,Ballon
,Ballyagran
,Ballybay
,Ballybofey - Stranorlar
,Ballyboghil (Ballyboughal)
,Ballybrittas
,Ballybunion
,Ballycanew
,Ballycannan
,Ballycastle
,Ballyclerahan
,Ballyclogh
,Ballycolla
,Ballyconnell
,Ballycotton
,Ballycullane
,Ballycumber
,Ballydehob
,Ballydesmond
,Ballyduff
,Ballyforan
,Ballygar
,Ballygarvan
,Ballygawley
,Ballyhack
,Ballyhahill
,Ballyhaise
,Ballyhale
,Ballyhaunis
,Ballyheigue
,Ballyhogue
,Ballyhooly
,Ballyjamesduff
,Ballyknockan
,Ballylanders
,Ballyliffin
,Ballylinan
,Ballylongford
,Ballymacarbry
,Ballymacoda
,Ballymahon
,Ballymore
,Ballymore Eustace
,Ballymote
,Ballymurn
,Ballynacargy
,Ballynacarrow (Ballinacarrow)
,Ballyneety (Glen)
,Ballynoe
,Ballyoulster
,Ballyporeen
,Ballyragget
,Ballyroan
,Ballyroe
,Ballysadare (Ballisodare)
,Ballyshannon
,Ballysimon
,Ballyvaughan
,Balrothery
,Baltimore
,Baltinglass
,Baltray
,Banagher
,Bandon
,Bangor Erris
,Bansha
,Banteer
,Bantry
,Barndarrig
,Barntown
,Baylin
,Béal an Mhuirthead (Belmullet)
,Béal Átha an Ghaorthaidh (Ballingeary)
,Bearna
,Beaufort
,Beaulieu
,Belcarra
,Belgooly
,Bellanagare
